country,name,longName,foundingDate,population,capital,largestCity,area
85,,People's Democratic Republic of Algeria,7/5/1962,40400000,Algiers,,919595mi
86,Alids,,,,Amol,,
87,,,,,,,
88,Libya,,,,Tripoli,,
89,Austria,,4/27/1945,,Vienna,,
90,Germany,,7/5/1945,,East Berlin,,
91,Germany,,7/5/1945,,Bad Oeynhausen,,
92,Germany,,7/5/1945,,Berlin,,
93,Germany,,7/5/1945,,Baden-Baden,,
94,Germany,,7/5/1945,,Frankfurt,,
95,Allies,,,,,,
96,,,,,,,
97,Palestine,,9/22/1948,,Gaza City,,
98,Palestine,,9/22/1948,,Cairo,,
99,Palestine,,9/22/1948,,Jerusalem,,
100,Almohads,,,,Marrakesh,,
101,Almohads,,,,Tinmel,,
102,Almoravids,,,,Marrakesh,,
103,Almoravids,,,,Aghmat,,
104,Alodia,,,,Soba (city),,
105,Amazonas,,,,,,
106,American Samoa,Territory of American Samoa,1889-06-14,54343,Pago Pago,,76.83mi
107,American Samoa,Territory of American Samoa,1899-12-02,54343,Pago Pago,,76.83mi
108,,,,,,,
109,Ammon,,,,Amman,,
110,An der Etsch,,,,Bolzano,,
111,Carthage,,,,Carthage,,
112,Corinth,,,,Corinth,,
113,Toul,,,,Toul,,
114,Ancient Rome,,,,Rome,,
115,Anconine Republic,,1797-11-17,,Ancona,,
116,,Principality of Andorra,,85470,Andorra la Vella,,180.55mi
117,Anga Kingdom,,,,,,
118,Angevin Empire,,1154-12-19,,Angers,,
119,Angevin Empire,,1154-12-19,,Chinon,,
120,Corsica,,1794-06-17,,Bastia,,
121,Corsica,,1794-06-17,,"Corte, Haute-Corse",,
122,Anglo-Egyptian Sudan,,1899-06-19,,Khartoum,,
123,Sandwich island,,,,,,
124,,Republic of Angola,11/11/1975,,Luanda,,481354mi
125,Anguilla,Anguilla,,13600,"The Valley, Anguilla",,91km
126,Anhalt-Bernburg,,,,Bernburg,,
127,Anhalt-Bernburg-Schaumburg-Hoym,,,,,,
128,Anhalt-Dessau,,,,Dessau,,
129,Anhalt-Harzgerode,,,,,,
130,Anhalt-Köthen,,,,,,
131,Anjouan,Autonomous Island of Anjouan,,277500,Mutsamudu,,163mi
132,Annam,,,,Huế,,
133,Antigonid Empire,,,,,,
134,,Antigua and Barbuda,2/27/1967,91295,"St. John's, Antigua and Barbuda",,170mi
135,,Antigua and Barbuda,11/1/1981,91295,"St. John's, Antigua and Barbuda",,170mi
136,,,,,,,
137,Appenzell,,,,Appenzell (town),,
138,Apum,,,,Tell Leilan,,
139,Apum,,,,Apum (city),,
140,Arab Federation,,2/14/1958,,,,
141,Arab Islamic Republic,,1/11/1974,,,,
142,Syria,,3/8/1920,,Damascus,,
143,,League of Arab States,3/22/1945,423000000,,,5070420mi
144,,,4/27/1976,,,,
145,Arakkal Kingdom,,,,Kannur,,
146,"Bremen, Archbishopric",,,,Bremervörde,,
147,"Bremen, Archbishopric",,,,Bremen,,
148,"Bremen, Archbishopric",,,,Basdahl,,
149,Magdeburg,,,,Magdeburg,,
150,Magdeburg,,,,Halle (Saale),,
151,Riga,,,,Riga,,
152,Salzburg,,,,Salzburg (state),,
153,Austria,,,,Vienna,,
154,Ardabil Khanate,,,,Ardabil,,
155,,,,,,,
156,Arenberg,,,,Aremberg,,
157,Eastern Greece,,1821-03-25,,Amfissa,,
158,Argentina,Argentine Republic,1810-05-25,43417000,Buenos Aires,,2780400km
159,Argentina,Argentine Republic,1816-07-09,43417000,Buenos Aires,,2780400km
160,Argentine Confederation,,1831-01-04,,"Paraná, Entre Ríos",,
161,"Sindh, Balochistan, Gujarat",,,,Bukkur,,
162,,,,,,,
163,Armenia,Republic of Armenia,,,Yerevan,,11484mi
164,Cilicia,,1198-01-06,,Tarsus,,
165,Cilicia,,1198-01-06,,Çamlıyayla,,
166,Cilicia,,1198-01-06,,Sis (ancient city),,
167,Armenian SSR,,12/2/1920,,,,
168,Armani,,,,Aleppo,,
169,Armenia,,,,Dvin (ancient city),,
170,Aro Confederacy,,,,Arochukwu,,
171,Artquids,,,,Mardin,,
172,Artquids,,,,Elazığ,,
173,Artquids,,,,Diyarbakır,,
174,Artquids,,,,Hasankeyf,,
175,Aruba,Aruba,3/18/1986,103400,"Oranjestad, Aruba",,69.08mi
176,Ascension Island,Ascension Island,9/12/1922,880,"Georgetown, Ascension Island",,88km
177,,,,,,,
178,,,,,,,
179,Asante,,,,Kumasi,,
180,Ashantiland,(Asanteman),,11700000,Kumasi,Kumasi,120761km
181,Ashantiland,Ashantiland,,11700000,Kumasi,Kumasi,120761km
182,Ashantiland,(Kingdom of Ashanti),,11700000,Kumasi,Kumasi,120761km
183,Ashikaga shogunate,,1336-08-11,,Kyoto,,
184,,,,,,,
185,,,8/8/1967,625000000,,,1712602mi
186,,,12/16/2008,625000000,,,1712602mi
187,Assyria,,,,Nineveh,,
188,Assyria,,,,Nimrud,,
189,Assyria,,,,Assur,,
190,Assyria,,,,Dur-Sharrukin,,
191,Assyria,,,,Harran,,
192,Middle Assyrian Empire,,,,Nineveh,,
193,Middle Assyrian Empire,,,,Nimrud,,
194,Middle Assyrian Empire,,,,Assur,,
195,Middle Assyrian Empire,,,,Dur-Sharrukin,,
196,Middle Assyrian Empire,,,,Harran,,
197,Astrakhan,,,,Xacitarxan,,
198,Tenth Dynasty of Hùng kings,,,,Phong Châu,,
199,Atabegs of Yazd,,,,Yazd,,
200,Atropatene,,,,Ganzak,,
201,Pergamon,,,,Pergamon,,
202,,,,,,,
203,Austenasia,Empire of Austenasia,9/20/2008,,Carshalton,,0.2327km
204,Australia,Commonwealth of Australia,1/1/1901,,Canberra,Sydney,7692024km
205,Australia,Commonwealth of Australia,9/3/1939,,Canberra,Sydney,7692024km
206,Australia,Commonwealth of Australia,10/9/1942,,Canberra,Sydney,7692024km
207,the Australian Antarctic Territory,Australian Antarctic Territory,,,Davis Station,,5896500km
208,Austrasia,,,,Metz,,
209,Austria,Republic of Austria,,8662588,Vienna,,32385.9mi
210,Austria-Hungary,,1867-03-01,,Budapest,Vienna,
211,Austria-Hungary,,1867-03-01,,Vienna,Vienna,
212,Austria-Hungary,,1867-03-01,,Budapest,Budapest,
213,Austria-Hungary,,1867-03-01,,Vienna,Budapest,
214,Austria,,1804-08-11,,Vienna,Vienna,
215,Austrian Littoral,,1849-03-04,,Trieste,,
216,Austrian Netherlands,,1714-03-07,,Brussels,,
217,Silesia,,,,Opava,,
218,Bosnia and Herzegovina,,1878-07-13,,Sarajevo,,
219,Republic of Korçë,,12/10/1916,,Korçë,,
220,Khorasan,,,,Mashhad,,
221,Kosovo and Metohija,Kosovo and Metohija,,1804838,Pristina,,4212mi
222,Kosovo and Metohija,Autonomous Province of,,1804838,Pristina,,4212mi
223,Western Bosnia,,9/27/1993,,Velika Kladuša,,
224,Crimea,Autonomous Republic of Crimea,2/12/1991,,Simferopol,,10038mi
225,Crimea,Autonomous Republic of Crimea,10/21/1998,,Simferopol,,10038mi
226,Αυτόνομος Ήπειρος,,2/28/1914,,Gjirokastër,,
227,Turkish Cypriot Administration,,10/1/1974,,,,
228,Avar Khaganate,,,,,,
229,Avar Khanate,,,,,,
230,Avatele,,,,,,5.4mi
231,Awdalland,Awdalland,,,Borama,,6122km
232,Axis,,11/25/1936,,,,
233,Ay dynasty,,,,Mavelikkara,,
234,Ay dynasty,,,,Keezhperoor,,
235,Ay dynasty,,,,Alwarkurichi,,
236,Ay dynasty,,,,Vizhinjam,,
237,Ay dynasty,,,,Periyaoor,,
238,Ay dynasty,,,,Aykudi,,
239,Aydinids,,,,Selçuk,,
240,Aydinids,,,,Birgi,,
241,Ayutthaya Kingdom,,,,Phra Nakhon Si Ayutthaya District,,
242,Ayutthaya Kingdom,,,,Mueang Lopburi District,,
243,Ayutthaya Kingdom,,,,Mueang Phitsanulok District,,
244,Ayyubid,,,,Aleppo,,
245,Ayyubid,,,,Cairo,,
246,Azad Hind,,10/21/1943,,Port Blair,,
247,Azadistan,,,,Tabriz,,
248,Azawad,,4/6/2012,,Gao,Timbuktu,
249,Azawad,,4/6/2012,,Timbuktu,Timbuktu,
250,Azcapotzalco,,,,,,
251,Azerbaijan,Republic of Azerbaijan,5/28/1918,9624900,Baku,,33436mi
252,Azerbaijan,Republic of Azerbaijan,4/28/1920,9624900,Baku,,33436mi
253,Azerbaijan,,5/28/1918,,Baku,,
254,Azerbaijan,,5/28/1918,,"Ganja, Azerbaijan",,
255,Azerbaijan People's Government,,,,Tabriz,,
256,Azerbaijan SSR,,4/28/1920,,Baku,,
257,Aztec Empire,,1428-03-13,,Tenochtitlan,,
258,Azuchi–Momoyama period,,1568-10-18,,,,
259,Ba,,,,Enshi City,,
260,Ba,,,,Yuzhong District,,
261,Ba,,,,Fengdu County,,
262,Ba,,,,Fuling District,,
263,Ba,,,,Hechuan District,,
264,Ba,,,,Langzhong,,
265,Iraq,,7/17/1968,,,,
266,,,,,,,
267,,,,,Lügde,,
268,,,,,,,
269,,,,,,,
270,,,,,,,
271,Baekje,,,,Ungjin,,
272,Baekje,,,,Sabi (Korea),,
273,Baekje,,,,Wiryeseong,,
274,Armenia,,,,Ani,,
275,Armenia,,,,Bagaran (ancient city),,
276,Armenia,,,,Shirakavan (ancient city),,
277,Armenia,,,,Kars,,
278,Bahmani Sultanate,,1347-08-03,,Bidar,,
279,Bahmani Sultanate,,1347-08-03,,Gulbarga,,
280,Bahrain,Kingdom of Bahrain,8/14/1971,1343000,Manama,,295.37mi
281,Bahrain,Kingdom of Bahrain,8/15/1971,1343000,Manama,,295.37mi
282,Guernsey,Bailiwick of Guernsey,,65849,,,30.1mi
283,Baindt Abbey,,,,,,
284,Baku Khanate,,,,,,
285,Balhae,,,,List of provinces of Balhae,,
286,Balhae,,,,Sanggyeong,,
287,Bali,,,,"Gelgel, Indonesia",,
288,Bali,,,,Klungkung Regency,,
289,Bali,,,,Bedulu,,
290,Bali,,,,Samprangan,,
291,Balkan Entente,,2/9/1934,,,,
292,,,,,,,
293,,Baltic states,,6177650,,,67523mi
294,Bamana Empire,,,,Ségou,,
295,Banat Republic,,11/1/1918,,,,
296,Bandowe,,,,Kuldīga,,
297,Bangladesh,People's Republic of Bangladesh,8/14/1947,168957745,Dhaka,Dhaka,56977mi
298,Bangladesh,People's Republic of Bangladesh,3/23/1956,168957745,Dhaka,Dhaka,56977mi
299,,Bangladesh–China–India–Myanmar Forum for Regional Cooperation,,,,,
300,Bangsamoro Republik,,7/27/2013,,Davao City,Davao City,
301,Bangsamoro Republik,,8/12/2013,,Davao City,Davao City,
302,Banten,,,,Banten (town),,
303,Ifranid,,,,Tlemcen,,
304,Ilyasids,,,,Bardsir,,
305,Banu Qasi dynasty,,,,"Tudela, Navarre",,
306,Barbados,Barbados,11/30/1966,,Bridgetown,,166mi
307,Barghawata Confederacy,,,,,,
308,Barony of Caux,Sovereign Barony of Caux,,,North America,,
309,Barotseland,Kingdom of Barotseland,,5153405,,,368823km
310,Barotziland-North-Western Rhodesia,,1899-11-28,,"Livingstone, Zambia",,182000mi
311,Barotziland-North-Western Rhodesia,,1899-11-28,,Kalomo,,182000mi
312,Basque Country,Basque Country,,3000000,Vitoria-Gasteiz,Bilbao,20947km
313,,Bassas da India,,,,,
314,Basutoland,,,,Maseru,,
315,Batavia,,1795-01-19,,The Hague,,
316,Tabaristan,,,,"Farim, Iran",,
317,Tabaristan,,,,Amol,,
318,Tabaristan,,,,"Sari, Iran",,
319,Bavaria-Ingolstadt,,,,,,
320,Bavaria-Landshut,,1353-06-03,,,,
321,Bavaria-Munich,,,,,,
322,Bavarian Soviet Republic,,4/6/1919,,Munich,,
323,,,5/14/1997,1465236000,,,3499559km
324,,,1/31/2015,1465236000,,,3499559km
325,Bechuanaland,,1885-03-31,,Mahikeng,,
326,Bechuanaland,,1885-03-31,,Gaborone,,
327,Belarus,Republic of Belarus,7/27/1990,9498700,Minsk,,80155mi
328,Belarus,Republic of Belarus,8/25/1991,9498700,Minsk,,80155mi
329,Belarus,,3/1/1943,,Minsk,,
330,Belarus,,3/25/1918,,Grodno,,
331,Belarus,,3/25/1918,,Minsk,,
332,,,,,,,
333,Congo,,11/15/1908,,Kinshasa,,
334,Belgium,Kingdom of Belgium,1830-10-04,,City of Brussels,,11787mi
335,Belgium,Kingdom of Belgium,1839-04-19,,City of Brussels,,11787mi
336,Belgium,,11/11/1918,,City of Brussels,,
337,Belize,Belize,9/21/1981,347369,Belmopan,Belize City,8867mi
338,Bengal Sultanate,,,,Gauḍa (city),,
339,Bengal Sultanate,,,,Sonargaon,,
340,Bengal Sultanate,,,,"Pandua, Malda",,
341,Benin,Republic of Benin,8/1/1960,10879829,Porto-Novo,Cotonou,114763km
342,Benin Empire,,,,Benin City,,
343,Berbice,,,,Fort Nassau (Guyana),,
344,Berbice,,,,"New Amsterdam, Guyana",,
345,Berchtesgaden,,,,Berchtesgaden,,
346,Berg,,,,Düsseldorf,,
347,Berg,,,,Burg Castle (Solingen),,
348,Bermuda,Bermuda,,,"Hamilton, Bermuda",,20.6mi
349,Bernicia,,,,Bamburgh,,
350,Bessarabia,,,,Chișinău,,
351,Bafra,,,,,,
352,Çubukoğulları,,,,Elazığ,,
353,Dilkadirids,,,,Elbistan,,
354,Dilkadirids,,,,Kahramanmaraş,,
355,Tekke,,,,Antalya,,
356,Tunis,,1705-07-15,,,,
357,Canik,,,,,,
358,Bhopal,,,,Bhopal,,
359,Bhopal,,,,"Islamnagar, Bhopal",,
360,Bhutan,Kingdom of Bhutan,12/17/1907,742737,Thimphu,,14824mi
361,Bhutan,Kingdom of Bhutan,8/8/1949,742737,Thimphu,,14824mi
362,Biafra,,5/30/1967,,Enugu State,,
363,,,,,,,
364,,,,,Bidar,,
365,Republic of Bihać,,11/4/1942,,Bihać,,
366,Bima,,,,Bima,,
367,Eleventh Dynasty of Hùng kings,,,,Phong Châu,,
368,Bishopric of Brandenburg,,,,Brandenburg an der Havel,,
369,Brixen,,,,Brixen,,
370,,,,,Kołobrzeg,,
371,,,,,Wolin (town),,
372,,,,,Koszalin,,
373,,,,,Kamień Pomorski,,
374,,,,,Usedom Abbey,,
375,"Constance, Bishopric",,,,Konstanz,,
376,"Constance, Bishopric",,,,Meersburg,,
377,Courland,,1234-02-11,,Piltene,,
378,"Dorpat, Bishopric",,,,Tartu,,
379,Eichstätt,,,,Eichstätt,,
380,Halberstadt,,,,Halberstadt,,
381,Havelberg,,,,Havelberg,,
382,Havelberg,,,,Wittstock,,
383,Hildesheim,,,,Hildesheim,,
384,"Lebus, Bishopric",,,,Fürstenwalde,,
385,"Lebus, Bishopric",,,,Lebus,,
386,"Lebus, Bishopric",,,,"Górzyca, Lubusz Voivodeship",,
387,Lübeck,,,,Eutin,,
388,Merseburg,,,,Merseburg,,
389,"Metz, Bishopric",,,,Metz,,
390,"Metz, Bishopric",,,,Vic-sur-Seille,,
391,Minden,,,,Minden,,
392,Osel–Wiek,,1228-10-01,,Haapsalu,,
393,Osel–Wiek,,1228-10-01,,Kuressaare,,
394,Osel–Wiek,,1228-10-01,,Pärnu,,
395,Osel–Wiek,,1228-10-01,,Lihula,,
396,Ratzeburg,,1236-07-15,,Ratzeburg,,
397,"Regensburg, Bishopric",,,,,,
398,Speyer,,,,Bruchsal,,
399,Speyer,,,,Philippsburg,,
400,Speyer,,,,Speyer,,
401,Trent,,,,Trento,,
402,Verdun,,,,,,
403,"Worms, Bishopric",,,,"Worms, Germany",,
404,"Worms, Bishopric",,,,Ladenburg,,
405,Würzburg,,,,Bishopric of Würzburg,,
406,Bolivia,Plurinational State of Bolivia,1825-08-06,11410651,Sucre,Santa Cruz de la Sierra,424163mi
407,Bolivia,Plurinational State of Bolivia,1847-07-21,11410651,Sucre,Santa Cruz de la Sierra,424163mi
408,Bolognese Republic,,,,Bologna,,
409,Bonoman,,,,,,
410,Bophuthatswana,,12/6/1977,,Mmabatho,,
411,Borduria,Republic of Borduria,,,,,
412,Bornu Empire,,,,Ngazargamu,,
413,Bosnia and Herzegovina,Bosnia and Herzegovina,3/1/1992,,Sarajevo,,19741mi
414,Bosporan Kingdom,,,,Panticapaeum,,
415,Botswana,Republic of Botswana,9/30/1966,2155784,Gaborone,,224610mi
416,France,,1814-04-06,,Paris,,
417,Bouvet Island,Bouvet Island,1/23/1928,,,,49km
418,Bouvet Island,Bouvet Island,12/1/1927,,,,49km
419,Sindh,,,,,,
420,Brandenburger Gold Coast,,,,"Princes Town, Ghana",,
421,Brandenburg-Prussia,,1618-08-27,,Königsberg,,
422,Brandenburg-Prussia,,1618-08-27,,Berlin,,
423,Brazil,Federative Republic of Brazil,1822-09-07,205338000,Brasília,São Paulo,3287597mi
424,Brazil,Federative Republic of Brazil,1825-08-29,205338000,Brasília,São Paulo,3287597mi
425,Brazil,,3/31/1964,,,,
426,Bremen-Verden,,1648-05-15,,Stade,,
427,Bretzenheim,,,,,,
428,Britannic Empire,,,,Londinium,,
429,British America,,,,Kingdom of England,,
430,the British Antarctic Territory,British Antarctic Territory,,250,London,,660000mi
431,the British Antarctic Territory,British Antarctic Territory,,250,Rothera Research Station,,660000mi
432,,British Arctic territory,,,,,
433,,(16th Century-1880),,,,,
434,British Bechuanaland,,1885-03-01,,Vryburg,,
435,Cameroon,,7/20/1922,,,,
436,British Central Africa Protectorate,,,,"Zomba, Malawi",,
437,Ceylon,,1815-03-05,,Colombo,,
438,,,,,,,
439,Guyana,,1814-08-13,,"Georgetown, Guyana",,
440,Belize,,,,Belmopan,,
441,Belize,,,,Belize City,,
442,British Honduras,,,,Belmopan,,
443,British Honduras,,,,Belize City,,
444,Hong Kong,,1841-01-20,,"Victoria, Hong Kong",,
445,British Indian Ocean Territory,British Indian Ocean Territory,,3000,,,21004mi
446,,,1762-10-06,,"Bacolor, Pampanga",,
447,,,1762-10-06,,Manila,,
448,,,1762-10-06,,Pampanga,,
449,Kenya,,6/11/1920,,,,
450,Leeward Islands,,,,"St. John's, Antigua and Barbuda",,
451,British Mauritius,,1810-12-03,,Port Louis,,
452,Borneo,,9/12/1945,,"Victoria, Labuan",,
453,Libya,,,,Tripoli,,
454,Malaya,,9/12/1945,,Kuala Lumpur,,
455,British North America,,,,London,,
456,British North America,,,,England,,
457,,,,250000,,,1727570km
458,India,,1858-08-02,,,,
459,Burma,,1824-03-05,,Yangon,,
460,British Solomon Islands,,1893-03-15,,Honiara,,
461,British Solomon Islands,,1893-03-15,,Tulagi,,
462,Northern Somalia Protectorate,,,,Berbera,,
463,British Togoland,,12/27/1916,,"Ho, Ghana",,
464,British Virgin Islands,Virgin Islands,,,Road Town,,59mi
465,British Western Pacific Territories,,,,Suva,,
466,British Western Pacific Territories,,,,Honiara,,
467,Windward Islands,,,,Bridgetown,,
468,Windward Islands,,,,"St. George's, Grenada",,
469,Brunei,"Nation of Brunei, Abode of Peace",,415717,Bandar Seri Begawan,Bandar Seri Begawan,2226mi
470,Bruneian Empire,,,,Bandar Seri Begawan,,
471,Bruneian Empire,,,,"Kota Batu, Brunei-Muara",,
472,Bruneian Empire,,,,Kampong Ayer,,
473,Brycheiniog,,,,Talgarth,,
474,Buchau Abbey,,,,,,
475,Bukhar Khudats,,,,Bukhara,,
476,Bukhara,,10/8/1920,,Bukhara,,
477,Bulgaria,Republic of Bulgaria,,,Sofia,,42823mi
478,Bulgaria,,,,Ohrid,,
479,Bulgaria,,,,Skopje,,
480,Bulgaria,,,,Veliki Preslav,,
481,Bulgaria,,,,Veliko Tarnovo,,
482,Bulgaria,,,,Vidin,,
483,Bulgaria,,,,Pliska,,
484,None,,9/16/1944,,,,
485,Bunyoro,Bunyoro-Kitara Kingdom,,1400000,Hoima,Masindi,3241mi
486,,,,27000000,,Accra,238535km
487,,,1347-10-16,,,,
488,,,,,,,
489,"Nuremberg, Burgraviate",,,,Nuremberg,,
490,Netherlands,,,,Brussels,,
491,Burid,,,,Damascus,,
492,,Burkina Faso,,17322796,Ouagadougou,,105869mi
493,Burtscheid Abbey,,,,,,
494,Burundi,Republic of Burundi,7/1/1962,11178921,Bujumbura,,27834km
495,Bushmanland,,,,Tsumkwe,,
496,Buxheim Charterhouse,,,,,,
497,Buyeo,,,,Nong'an Town,,
498,Buyids,,,,Iraq,,
499,Buyids,,,,Baghdad,,
500,Buyids,,,,Fars Province,,
501,Buyids,,,,"Rey, Iran",,
502,Buyids,,,,Shiraz,,
503,Buyids,,,,Jibal,,
504,Byelorussian SSR,,7/31/1920,,Minsk,,
505,Byelorussian SSR,,7/31/1920,,Smolensk,,
506,Byzantine,,,,Arsamosata,,
507,Byzantine,,,,Malatya,,
508,Byzantine,,,,Sivas,,
509,Byzantine,,,,Erzurum,,
510,Byzantine Empire,,,,Constantinople,,
511,Byzantine Empire,,,,"Syracuse, Sicily",,
512,Byzantium,,,,Constantinople,,
513,Byzantium,,0610-10-05,,Constantinople,,
514,Byzantium,,,,Constantinople,,
515,Byzantium,,0518-06-10,,Constantinople,,
516,Byzantium,,1081-04-04,,Constantinople,,
517,Byzantium,,0867-09-02,,Constantinople,,
518,Byzantium,,1261-07-25,,Constantinople,,
519,Byzantium,,,,Constantinople,,
520,,,4/21/1907,50000,,São Gabriel da Cachoeira,160000km
521,,,11/15/1928,50000,,São Gabriel da Cachoeira,160000km
522,Cai,,,,Fengtai County,,
523,Cai,,,,Shangcai County,,
524,Cai,,,,Xincai County,,
525,California,,1846-06-14,,,,
526,Córdoba,,,,"Córdoba, Andalusia",,
527,Cambodia,Kingdom of Cambodia,,15458332,Phnom Penh,,69898mi
528,Cameroon,Republic of Cameroon,1/1/1960,22534532,Yaoundé,,183569mi
529,Cameroon,Republic of Cameroon,10/1/1961,22534532,Yaoundé,,183569mi
530,Third Dynasty of Hùng kings,,,,Phong Châu,,
531,Can Pech,,,,Campeche City,,
532,Canada,,1867-07-01,35985751,Ottawa,Toronto,3854085mi
533,Canada,,12/11/1931,35985751,Ottawa,Toronto,3854085mi
534,Cañaris,,,,Tumebamba,,
535,Fifteenth Dynasty of Hùng kings,,,,,,
536,Canton 10,Canton 10,6/12/1996,,Livno,Livno,1905.1mi
537,Canton 10,Canton 10,6/12/1996,,Tomislavgrad,Livno,1905.1mi
538,Neuchatel,,,,,,
539,Cao,,,,Dingtao District,,
540,Cao Wei,,0220-12-10,,Luoyang,,
541,Cape Colony,,,,,,
542,Cape Verde,Republic of Cabo Verde,7/5/1975,525000,Praia,,1557mi
543,Brazil,,,,,,
544,Chile,,,,History of Chile,,
545,Chile,,,,Santiago,,
546,Cuba,,,,Havana,,
547,Guatemala,,,,Guatemala City,,
548,Guatemala,,,,Antigua Guatemala,,
549,Puerto Rico,,,,"San Juan, Puerto Rico",,
550,Santo Domingo,,,,Santo Domingo,,
551,Philippines,,,,Manila,,
552,Venezuela,,1777-09-08,,,,
553,Carantania,,,,Maria Saal,,
554,Carchemish,,,,,,
555,Carneola,,,,Kranj,,
556,Franks,,,,Aachen,,
557,Carpatho-Ukraine,,3/14/1939,,Khust,Khust,
558,Carriacou and Petite Martinique,Carriacou and Petite Martinique,,6081,"Hillsborough, Carriacou",,13.2mi
559,Cascadia,Cascadia,,15638140,,Seattle,534572mi
560,Catalonia,,10/6/1934,,,,
561,Caucasian Albania,,,,"Barda, Azerbaijan",,
562,Caucasian Albania,,,,Qabala,,
563,Caucasian Imamate,,,,,,
564,Cayenne,,,,Cayenne,,
565,Cayman Islands,Cayman Islands,11/6/2009,,"George Town, Cayman Islands",,102mi
566,Cayor Kingdom,,,,Mboul,,
567,European Union,,,,Belgium,,
568,Central African Empire,,12/4/1976,,Bangui,,
